test_week,train_weeks,bet_type,dow_pt,score_col,cutoff,stake_frac,alpha_global,status,rule_key
2025-12-08/2025-12-14,12,FH,domingo,proba_cal_sexdom,1.0,0.0,0.9572504162788391,no_candidate,FH|domingo
2025-12-15/2025-12-21,12,FT,segunda-feira,proba_raw_segunda,0.05,0.02,0.957633376121521,ok,FT|segunda-feira
2025-12-15/2025-12-21,12,FT,terça-feira,proba_raw_terca,0.23,0.02,0.957633376121521,ok,FT|terça-feira
2025-12-15/2025-12-21,12,FT,quarta-feira,proba_raw_quarta,0.37,0.06,0.957633376121521,ok,FT|quarta-feira
2025-12-15/2025-12-21,12,FT,quinta-feira,proba_cal_segqui,1.0,0.0,0.957633376121521,no_candidate,FT|quinta-feira
2025-12-15/2025-12-21,12,FT,sexta-feira,proba_cal_sexdom,1.0,0.0,0.957633376121521,no_candidate,FT|sexta-feira
2025-12-15/2025-12-21,12,FT,sábado,proba_cal_sexdom,1.0,0.0,0.957633376121521,no_candidate,FT|sábado
2025-12-15/2025-12-21,12,FT,domingo,proba_cal_sexdom,1.0,0.0,0.957633376121521,no_candidate,FT|domingo
2025-12-15/2025-12-21,12,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.957633376121521,no_candidate,FH|segunda-feira
2025-12-15/2025-12-21,12,FH,terça-feira,proba_raw_terca,0.51,0.01,0.957633376121521,ok,FH|terça-feira
2025-12-15/2025-12-21,12,FH,quarta-feira,proba_raw_quarta,1.0,0.0,0.957633376121521,no_candidate,FH|quarta-feira
2025-12-15/2025-12-21,12,FH,quinta-feira,proba_cal_segqui,1.0,0.0,0.957633376121521,no_candidate,FH|quinta-feira
2025-12-15/2025-12-21,12,FH,sexta-feira,proba_cal_sexdom,1.0,0.0,0.957633376121521,no_candidate,FH|sexta-feira
2025-12-15/2025-12-21,12,FH,sábado,proba_cal_sexdom,1.0,0.0,0.957633376121521,no_candidate,FH|sábado
2025-12-15/2025-12-21,12,FH,domingo,proba_cal_sexdom,1.0,0.0,0.957633376121521,no_candidate,FH|domingo
2025-12-22/2025-12-28,12,FT,segunda-feira,proba_raw_segunda,0.05,0.02,0.9798237681388855,ok,FT|segunda-feira
2025-12-22/2025-12-28,12,FT,terça-feira,proba_raw_terca,0.23,0.02,0.9798237681388855,ok,FT|terça-feira
2025-12-22/2025-12-28,12,FT,quarta-feira,proba_raw_quarta,0.37,0.06,0.9798237681388855,ok,FT|quarta-feira
2025-12-22/2025-12-28,12,FT,quinta-feira,proba_cal_segqui,1.0,0.0,0.9798237681388855,no_candidate,FT|quinta-feira
2025-12-22/2025-12-28,12,FT,sexta-feira,proba_cal_sexdom,1.0,0.0,0.9798237681388855,no_candidate,FT|sexta-feira
2025-12-22/2025-12-28,12,FT,sábado,proba_cal_sexdom,1.0,0.0,0.9798237681388855,no_candidate,FT|sábado
2025-12-22/2025-12-28,12,FT,domingo,proba_cal_sexdom,1.0,0.0,0.9798237681388855,no_candidate,FT|domingo
2025-12-22/2025-12-28,12,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.9798237681388855,no_candidate,FH|segunda-feira
2025-12-22/2025-12-28,12,FH,terça-feira,proba_raw_terca,0.51,0.01,0.9798237681388855,ok,FH|terça-feira
2025-12-22/2025-12-28,12,FH,quarta-feira,proba_raw_quarta,1.0,0.0,0.9798237681388855,no_candidate,FH|quarta-feira
2025-12-22/2025-12-28,12,FH,quinta-feira,proba_cal_segqui,1.0,0.0,0.9798237681388855,no_candidate,FH|quinta-feira
