week,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2,variant
2025-12-01/2025-12-07,1.0,36,2010.0,-320.75,-0.15957711442786068,baseline_fast
2025-12-08/2025-12-14,1.0,50,1150.0,284.18800000000005,0.24712000000000003,baseline_fast
2025-12-15/2025-12-21,1.0,36,2141.0,-140.90050000000002,-0.0658106025221859,baseline_fast
2025-12-22/2025-12-28,1.0,16,678.0,183.68900000000002,0.27092772861356934,baseline_fast
2025-12-29/2026-01-04,1.0,15,736.0,180.15900000000002,0.24478125000000003,baseline_fast
2026-01-05/2026-01-11,1.0,51,1725.0,7.267999999999994,0.004213333333333329,baseline_fast
2026-01-12/2026-01-18,1.0,65,2844.0,46.67999999999999,0.016413502109704638,baseline_fast
2026-01-19/2026-01-25,1.0,7,322.0,121.71599999999998,0.37799999999999995,baseline_fast
2025-12-01/2025-12-07,1.0,36,2010.0,-320.75,-0.15957711442786068,regionseg_fast
2025-12-08/2025-12-14,1.0,50,1150.0,284.18800000000005,0.24712000000000003,regionseg_fast
2025-12-15/2025-12-21,1.0,36,2141.0,-140.90050000000002,-0.0658106025221859,regionseg_fast
2025-12-22/2025-12-28,1.0,16,678.0,183.68900000000002,0.27092772861356934,regionseg_fast
2025-12-29/2026-01-04,1.0,15,736.0,180.15900000000002,0.24478125000000003,regionseg_fast
2026-01-05/2026-01-11,1.0,51,1725.0,7.267999999999994,0.004213333333333329,regionseg_fast
2026-01-12/2026-01-18,1.0,65,2844.0,46.67999999999999,0.016413502109704638,regionseg_fast
2026-01-19/2026-01-25,1.0,7,322.0,121.71599999999998,0.37799999999999995,regionseg_fast
