week,n_bets,stake_usd,profit_usd,roi_on_stake
2025-09-29/2025-10-05,22,2991.0000000000005,511.5000000000001,0.17101303911735208
2025-10-06/2025-10-12,54,7104.000000000001,890.0000000000001,0.12528153153153154
2025-10-13/2025-10-19,115,13985.000000000002,2359.5000000000005,0.16871648194494102
2025-10-20/2025-10-26,121,17025.000000000004,-318.0,-0.018678414096916295
2025-10-27/2025-11-02,78,10294.000000000002,2455.5000000000005,0.238537011851564
2025-11-03/2025-11-09,93,13013.000000000002,-1519.5,-0.11676784753707829
2025-11-10/2025-11-16,94,14064.000000000002,-433.50000000000006,-0.030823378839590444
2025-11-17/2025-11-23,91,12536.000000000002,795.0000000000001,0.06341735800893426
2025-11-24/2025-11-30,132,17396.000000000004,2022.5000000000002,0.11626235916302598
2025-12-01/2025-12-07,111,13311.000000000002,-1493.0000000000002,-0.11216287281196004
2025-12-08/2025-12-14,78,9504.000000000002,1970.0,0.20728114478114473
2025-12-15/2025-12-21,59,7825.000000000001,-972.0000000000002,-0.12421725239616616
2025-12-22/2025-12-28,44,6248.000000000001,1402.0000000000002,0.22439180537772088
2025-12-29/2026-01-04,16,2427.0000000000005,635.0000000000001,0.26163988463123194
